,GEO,Year,EDU,UNEM,MANU,POV,OWNC,MULS,MEDH,BTYR,YRMV,VAC,OLD,CHILD,WATER,DEVELI,WETLAND,AGRI,FOREST,DEVEMI,DEVEOS,SHRUB,DEVEHI,BARREN,UNCLA
0,26093710100,2000,0.99316192,-0.266724297,0.706881226,-0.646609509,0.849574557,-0.730208802,0.907035412,-1.133620259,0.65161118,0.021528096,-1.00143848,0.200121683,0.060836502,0.171102662,0.129277567,0.121673004,0.171102662,0.106463878,0.171102662,0.019011407,0.003802281,0.045627376,0.0
1,26093710300,2000,0.475568245,-0.381790284,-0.385669337,-0.645908489,1.216613085,-0.864626672,0.637830368,-1.228688167,-0.026024915,-1.061846666,-0.401737634,0.737440722,0.049924357,0.140695915,0.145234493,0.143721634,0.160363086,0.093797277,0.148260212,0.054462935,0.024205749,0.039334342,0.0
2,26093710500,2000,0.11726155,-0.575982293,1.746395857,-0.359934618,0.54968567,-0.822982499,0.845816083,-0.618284539,-0.56956422,0.877608704,-0.915571247,0.874221413,0.070247934,0.148760331,0.119834711,0.140495868,0.161157025,0.111570248,0.161157025,0.02892562,0.016528926,0.041322314,0.0
3,26093710700,2000,-0.098771887,-0.804781257,0.473821048,-0.591566781,0.987785919,-0.898959274,0.046094953,-0.787030411,-1.326266578,-0.2915526,-0.376289378,-0.583347322,0.038888889,0.148148148,0.175925926,0.187037037,0.187037037,0.038888889,0.177777778,0.037037037,0.001851852,0.007407407,0.0
4,26093711000,2000,-0.292431338,-0.648614173,0.835634031,-0.731475142,0.799944032,-0.898959274,0.076206133,-0.92992029,-0.324474653,0.351243027,-0.900784193,0.632932665,0.057161207,0.136801541,0.179190751,0.182402055,0.18625562,0.044315992,0.164418754,0.034682081,0.006422608,0.00834939,0.0
5,26093712101,2000,0.252406982,-0.743343233,0.648341502,-0.637800308,0.862710181,-0.748966415,-0.044902411,-1.31097568,0.836097746,-0.209557606,-1.004805175,0.879310247,0.049411765,0.138823529,0.167058824,0.171764706,0.171764706,0.075294118,0.155294118,0.035294118,0.009411765,0.025882353,0.0
6,26093712102,2000,0.254188595,-0.752571754,0.640047608,-0.633501283,0.861652417,-0.741161357,-0.044315243,-1.302395409,0.854323746,-0.227247965,-1.002395677,0.889276556,0.03617945,0.134587554,0.179450072,0.18089725,0.179450072,0.05788712,0.162083936,0.031837916,0.011577424,0.026049204,0.0
7,26093712601,2000,-0.085609182,-0.863860882,0.442502147,-0.475307284,0.885729785,-0.872715697,0.321174255,-1.421527094,0.771827734,0.4745329,-1.080704349,1.020415634,0.079268293,0.158536585,0.12804878,0.103658537,0.134146341,0.134146341,0.158536585,0.030487805,0.042682927,0.030487805,0.0
8,26093712602,2000,-0.084784268,-0.858563028,0.451974401,-0.468770062,0.885517686,-0.866822883,0.316615472,-1.405893762,0.794994586,0.480780495,-1.065686248,1.023683543,0.04,0.1525,0.1575,0.155,0.1575,0.09,0.1575,0.0325,0.02,0.0375,0.0
9,26093713100,2000,0.544144503,-0.565010607,0.283982185,-0.772404566,0.953315313,-0.761584654,0.653560402,-1.280907873,-0.35077673,-0.119910533,-0.476696113,0.217583048,0.045576408,0.150134048,0.144772118,0.154155496,0.164879357,0.081769437,0.163538874,0.032171582,0.034852547,0.028150134,0.0
